Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld	Earnings (USD)
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	43	70	Song	IL	0	0.11034194
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	25	70	Song	CY	0	0.03126331
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	229	70	Song	CH	0	0.87638185
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	167	70	Song	NZ	0	0.44104770
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	4	70	Song	LU	0	0.01649733
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	18	70	Song	LV	0	0.03516107
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	114	70	Song	DK	0	0.49248978
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	19	70	Song	CL	0	0.01462605
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	122	70	Song	AT	0	0.35342005
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	17	70	Song	RS	0	0.01861549
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	45	70	Song	FI	0	0.19027137
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	141	70	Song	RO	0	0.17497385
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	3	70	Song	LK	0	0.00449284
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	1466	70	Song	CA	0	3.09123972
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	125	70	Song	MX	0	0.08456943
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	201	70	Song	SE	0	0.66383607
